component,explained_variance_ratio,cumulative_variance_ratio
1,0.10361840871292814,0.10361840871292814
2,0.026589170750482918,0.13020757946341105
3,0.022133412351975856,0.1523409918153869
4,0.01967565503335003,0.17201664684873694
5,0.018254327394876996,0.19027097424361394
6,0.014499244439758878,0.20477021868337283
7,0.013746358095736958,0.2185165767791098
8,0.013473644552057431,0.23199022133116723
9,0.013007990121739475,0.2449982114529067
10,0.012252617466908896,0.2572508289198156
11,0.011163077001834571,0.26841390592165015
12,0.011153393953603884,0.279567299875254
13,0.010567596069599394,0.2901348959448534
14,0.010180752994910145,0.3003156489397636
15,0.009283561425732495,0.3095992103654961
16,0.008548415211927963,0.31814762557742404
17,0.00822091124064149,0.32636853681806555
18,0.007832948848923778,0.3342014856669893
19,0.007471976211343674,0.341673461878333
20,0.007121585047466904,0.3487950469257999
21,0.0069167137040548774,0.35571176062985477
22,0.006766379119434208,0.362478139749289
23,0.006529103193867445,0.36900724294315645
24,0.0064041987060767394,0.3754114416492332
25,0.006100218815137301,0.38151166046437046
26,0.005931856843665099,0.38744351730803556
27,0.005808134467679016,0.3932516517757146
28,0.005752093383179299,0.39900374515889386
29,0.0056527123618349325,0.4046564575207288
30,0.0054607351063015175,0.41011719262703034
31,0.005355269320708534,0.41547246194773885
32,0.005182357021976571,0.4206548189697154
33,0.005110756695320118,0.42576557566503553
34,0.004931522311442235,0.43069709797647776
35,0.004815562665922546,0.4355126606424003
36,0.00480357335256444,0.4403162339949647
37,0.004648206792134525,0.44496444078709924
38,0.004564397784669537,0.4495288385717688
39,0.004487464915235761,0.45401630348700456
40,0.004387788021804372,0.45840409150880895
41,0.004371341150195983,0.46277543265900495
42,0.004301031686685776,0.4670764643456907
43,0.0042714576130744464,0.4713479219587652
44,0.004198053106619788,0.475545975065385
45,0.004132760233285287,0.4796787352986703
46,0.004107486936534594,0.4837862222352049
47,0.004025265079280404,0.4878114873144853
48,0.003972239359370032,0.49178372667385534
49,0.0039202335855613585,0.4957039602594167
50,0.0038715126352976367,0.4995754728947143
51,0.0037984453179880245,0.5033739182127024
52,0.003728057709339045,0.5071019759220414
53,0.0036528407315727257,0.5107548166536141
54,0.0036043952332341996,0.5143592118868483
55,0.003544700097471048,0.5179039119843194
