component,explained_variance_ratio,cumulative_variance_ratio
1,0.10407333036217904,0.10407333036217904
2,0.02680255007229312,0.13087588043447215
3,0.022344993880771397,0.15322087431524356
4,0.01984347107388914,0.1730643453891327
5,0.018420210286584186,0.1914845556757169
6,0.014599462455001124,0.20608401813071803
7,0.01385652377442816,0.2199405419051462
8,0.01360852438949204,0.23354906629463823
9,0.01311558658518988,0.2466646528798281
10,0.012360160985041328,0.2590248138648694
11,0.01127171912901242,0.27029653299388184
12,0.011249228843631186,0.281545761837513
13,0.010651587438645001,0.29219734927615804
14,0.010279891880286607,0.30247724115644464
15,0.009372353971270361,0.311849595127715
16,0.008633479540988082,0.32048307466870307
17,0.008299572746294809,0.32878264741499785
18,0.007908704304990582,0.33669135171998843
19,0.007544121390817371,0.3442354731108058
20,0.007193583753531594,0.3514290568643374
21,0.006976539818400243,0.35840559668273764
22,0.006834837078887458,0.36524043376162507
23,0.006594044233803457,0.3718344779954285
24,0.006469086216977294,0.3783035642124058
25,0.006160468761087512,0.3844640329734933
26,0.005988401183371148,0.3904524341568644
27,0.00586653763007504,0.3963189717869395
28,0.005808087162021819,0.4021270589489613
29,0.005708271161202977,0.40783533011016426
30,0.005513366171579478,0.41334869628174375
31,0.005402849503631848,0.4187515457853756
32,0.005232883103656763,0.42398442888903237
33,0.005161910871246272,0.42914633976027866
34,0.004979611715967028,0.43412595147624566
35,0.00486288766807351,0.4389888391443192
36,0.004849938550609899,0.4438387776949291
37,0.004694241602135557,0.44853301929706463
38,0.0046087340733189375,0.45314175337038354
39,0.004532350981046177,0.4576741043514297
40,0.0044249482593027075,0.4620990526107324
41,0.004415392248302488,0.4665144448590349
42,0.004341457461433833,0.47085590232046876
43,0.004314039707421965,0.4751699420278907
44,0.004235229380358407,0.4794051714082491
45,0.004172164571905327,0.48357733598015445
46,0.004147406354354341,0.4877247423345088
47,0.004046041466885472,0.4917707838013943
48,0.004009298457777633,0.4957800822591719
49,0.003953291242391941,0.4997333735015639
50,0.003909294076872036,0.5036426675784359
51,0.0038321923632640194,0.5074748599416999
52,0.0037587674867080962,0.511233627428408
53,0.003684336404915735,0.5149179638333238
54,0.0036391077775115716,0.5185570716108353
55,0.003571107058210763,0.522128178669046
56,0.003508747748914345,0.5256369264179603
57,0.0034335342474296386,0.52907046066539
58,0.003386555740762973,0.532457016406153
59,0.003366378068709234,0.5358233944748622
60,0.0032987298955267116,0.5391221243703889
61,0.003247480051776108,0.542369604422165
62,0.0032275647553577313,0.5455971691775227
63,0.003214014552256489,0.5488111837297791
64,0.0031813411351328856,0.551992524864912
65,0.0031067146251499106,0.5550992394900619
66,0.003042370644605604,0.5581416101346675
67,0.003028112134894208,0.5611697222695616
68,0.002973782087495211,0.5641435043570568
69,0.0029352237530885553,0.5670787281101454
70,0.0029010878855934654,0.5699798159957389
71,0.00286437349610744,0.5728441894918463
72,0.0028122240987926137,0.5756564135906389
73,0.002782303206985784,0.5784387167976247
74,0.0027628166926881056,0.5812015334903128
75,0.0026874584220478396,0.5838889919123607
76,0.0026665519881048454,0.5865555439004655
77,0.002643788288363837,0.5891993321888294
78,0.0026173198634539398,0.5918166520522833
79,0.0025791660664902364,0.5943958181187735
80,0.0025736495092287454,0.5969694676280023
81,0.0025579146653976438,0.5995273822934
82,0.002527702917455492,0.6020550852108555
83,0.0025074139554909884,0.6045624991663465
84,0.002462405191196602,0.6070249043575431
85,0.00245097707797043,0.6094758814355136
86,0.00241407482693639,0.6118899562624499
87,0.0023648493379475636,0.6142548056003975
88,0.0023477676030016345,0.6166025732033991
89,0.0023418492207561603,0.6189444224241553
90,0.0023281623864355875,0.6212725848105909
91,0.0022768195633521694,0.623549404373943
92,0.002271238102124585,0.6258206424760676
93,0.0022414226180031862,0.6280620650940708
94,0.0022232374918357586,0.6302853025859065
95,0.0022101255277686385,0.6324954281136752
96,0.002182145546595332,0.6346775736602706
97,0.0021439842633168863,0.6368215579235874
98,0.0021279394048811465,0.6389494973284685
99,0.002119962141996407,0.6410694594704649
100,0.0021022778333284935,0.6431717373037934
101,0.002074166571827342,0.6452459038756208
102,0.0020602024357374376,0.6473061063113582
103,0.0020423357218935785,0.6493484420332518
104,0.002030980966853526,0.6513794230001053
105,0.002023024189717859,0.6534024471898232
106,0.0020012201839960117,0.6554036673738193
107,0.0019925918933077357,0.657396259267127
108,0.001958644059602421,0.6593549033267294
109,0.0019359610512643323,0.6612908643779938
110,0.001925460439585122,0.6632163248175789
111,0.001914067241439721,0.6651303920590186
112,0.0018893499043803384,0.667019741963399
113,0.0018827617415516603,0.6689025037049506
114,0.0018578718758038223,0.6707603755807544
115,0.001840173580602968,0.6726005491613574
116,0.001831515260947009,0.6744320644223044
117,0.0017995803439125,0.6762316447662169
118,0.001795673857792586,0.6780273186240094
119,0.0017777012518367793,0.6798050198758462
120,0.0017669428504056657,0.6815719627262519
121,0.0017609616742430302,0.6833329244004949
122,0.0017517394141063772,0.6850846638146012
123,0.0017427614419559894,0.6868274252565572
124,0.0017207784156747117,0.6885482036722319
125,0.001709783484571767,0.6902579871568036
126,0.0016900101940285892,0.6919479973508322
127,0.0016862907060964478,0.6936342880569287
128,0.0016611121336519903,0.6952954001905807
